module,file,line_number,line_content
clang,./llvm-project/clang/tools/libclang/CIndexHigh.cpp,201,// FIXME: For a macro definition make sure that all expansions
clang,./llvm-project/clang/tools/libclang/CIndexHigh.cpp,296,// FIXME: For a macro definition make sure that all expansions
clang,./llvm-project/clang/tools/libclang/CXType.cpp,461,// FIXME: this function returns either a LangAS or a target AS
clang,./llvm-project/clang/tools/libclang/CXType.cpp,570,// FIXME: Template type parameters!
clang,./llvm-project/clang/tools/libclang/CXType.cpp,797,// FIXME: We should expose the canThrow(...) result instead of the EST.
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,643,// FIXME: Eventually remove.  This part of a hack to support proper
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,678,// FIXME: ObjCClassRef/ObjCProtocolRef for forward class/protocol
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,758,"// FIXME: Visit the ""outer"" template parameter lists on the TagDecl"
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,862,// FIXME: Visit explicitly-specified template arguments!
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,872,// FIXME: Attributes?
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,957,"// FIXME: Visit the ""outer"" template parameter lists on the FunctionDecl"
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,967,"// FIXME: Visit the ""outer"" template parameter lists on the TagDecl"
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,1035,// FIXME: Eventually convert back to just 'VisitDeclContext()'.  Essentially
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,1133,// FIXME: This implements a workaround with @property declarations also being
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,1224,// FIXME: No source location information!
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,1416,// FIXME: Per-identifier location info?
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,1486,// FIXME: Visit DeclarationName?
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,3153,"// FIXME: If we ever want to show these implicit accesses, this will be"
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,3893,// TODO: handle structured bindings here ?
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,4249,// FIXME: Add a flag for modules.
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,5210,return /*FIXME:*/ Msg->getLeftLoc();
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,5552,// FIXME: A CXCursor_InclusionDirective should give the location of the
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,5555,// FIXME: A CXCursor_AnnotateAttr should give the location of the annotation
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,5558,// FIXME: A CXCursor_AsmLabelAttr should give the location of the label
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,6669,"// FIXME: Setting ""FirstInDeclGroup"" in CXCursors is a hack that only works"
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,6815,// FIXME: Need a way to enumerate all non-reference cases.
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,6863,// FIXME: Multiple variables declared in a single declaration
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,6947,// FIXME: Need a way to enumerate all non-reference cases.
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,6997,// FIXME: Multiple variables declared in a single declaration
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,7036,// FIXME: Multiple variables declared in a single declaration
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,7152,"// FIXME: We end up faking the ""parent"" declaration here because we"
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,7229,case Decl::Label: // FIXME: Is this right??
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,7340,// FIXME: The ASTs should make finding the definition easier.
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,7380,// FIXME: We don't really know where to find the
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,7474,"// FIXME: This is, unfortunately, linear time."
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,7549,// FIXME: Provide an argv0 here so we can find llvm-symbolizer.
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,8417,// FIXME: Some simple tests here could identify macro definitions and
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,8519,// FIXME: We use a ridiculous stack size here because the data-recursion
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,9138,// FIXME: Note that we can't easily compute the lexical context of a
clang,./llvm-project/clang/tools/libclang/CIndex.cpp,10147,// TODO: Portability.
clang,./llvm-project/clang/tools/libclang/CXIndexDataConsumer.cpp,392,"// FIXME: Factor this out, a lot of TypeLoc users seem to need a generic"
clang,./llvm-project/clang/tools/libclang/CXIndexDataConsumer.cpp,502,// FIXME: This assumes that AST files and top-level modules directly
clang,./llvm-project/clang/tools/libclang/CXIndexDataConsumer.cpp,673,// FIXME: This seems like the wrong definition for redeclaration.
clang,./llvm-project/clang/tools/libclang/CXIndexDataConsumer.cpp,728,// FIXME: This seems like the wrong definition for redeclaration.
clang,./llvm-project/clang/tools/libclang/CIndexCodeCompletion.cpp,736,// FIXME: Add logging.
clang,./llvm-project/clang/tools/driver/cc1gen_reproducer_main.cpp,106,// FIXME: Compare unsaved file hashes and report mismatch in the reproducer.
clang,./llvm-project/clang/tools/driver/driver.cpp,310,// FIXME: Driver shouldn't take extra initial argument.
clang,./llvm-project/clang/tools/driver/cc1as_main.cpp,504,// FIXME: This is not pretty. MCContext has a ptr to MCObjectFileInfo and
clang,./llvm-project/clang/tools/driver/cc1as_main.cpp,551,// FIXME: There is a bit of code duplication with addPassesToEmitFile.
clang,./llvm-project/clang/tools/driver/cc1as_main.cpp,611,// FIXME: init MCTargetOptions from sanitizer flags here.
clang,./llvm-project/clang/tools/driver/cc1as_main.cpp,699,// FIXME: Use a better -version message?
clang,./llvm-project/clang/tools/driver/cc1as_main.cpp,707,"// FIXME: Remove this, one day."
clang,./llvm-project/clang/tools/clang-format/ClangFormat.cpp,309,"// FIXME: When we sort includes, we need to make sure the stream is correct"
clang,./llvm-project/clang/tools/clang-format/fuzzer/ClangFormatFuzzer.cpp,18,"// FIXME: fuzz more things: different styles, different style features."
clang,./llvm-project/clang/tools/clang-check/ClangCheck.cpp,101,// FIXME: Move FixItRewriteInPlace from lib/Rewrite/Frontend/FrontendActions.cpp
clang,./llvm-project/clang/tools/c-index-test/core_main.cpp,229,CIOpts.ProbePrecompiled = true; // FIXME: historical default. Needed?
clang,./llvm-project/clang/tools/clang-repl/ClangRepl.cpp,45,// FIXME: Re-enable once we can assume GCC 13.2 or higher.
clang,./llvm-project/clang/tools/clang-repl/ClangRepl.cpp,103,// TODO: Remove once out-of-process execution support is implemented for
clang,./llvm-project/clang/tools/clang-repl/ClangRepl.cpp,116,// FIXME: Remove once we enable remote slab allocation.
clang,./llvm-project/clang/tools/clang-repl/ClangRepl.cpp,320,// FIXME: Investigate if we could use runToolOnCodeWithArgs from tooling. It
clang,./llvm-project/clang/tools/clang-linker-wrapper/ClangLinkerWrapper.cpp,721,// TODO: fill these options once the Driver supports them.
clang,./llvm-project/clang/tools/clang-linker-wrapper/ClangLinkerWrapper.cpp,982,// TODO: Remove the above limitation.
clang,./llvm-project/clang/tools/clang-scan-deps/ClangScanDeps.cpp,579,// FIXME: This is mutable so that it can still be updated after insertion
clang,./llvm-project/clang/tools/clang-sycl-linker/ClangSYCLLinker.cpp,195,// TODO: Current use case involves LLVM IR bitcode files as input.
clang,./llvm-project/clang/tools/clang-sycl-linker/ClangSYCLLinker.cpp,207,// TODO: Support SPIR-V IR files.
clang,./llvm-project/clang/tools/clang-sycl-linker/ClangSYCLLinker.cpp,463,// TODO: Consider using LLVM-IR metadata to identify globals of interest
clang,./llvm-project/clang/tools/clang-sycl-linker/ClangSYCLLinker.cpp,484,// TODO: SYCL post link functionality involves device code splitting and will
clang,./llvm-project/clang/tools/clang-sycl-linker/ClangSYCLLinker.cpp,544,// TODO: TheImageKind should be
clang,./llvm-project/clang/tools/diagtool/TreeView.cpp,33,// FIXME: This feels like a hack.
clang,./llvm-project/clang/tools/diagtool/TreeView.cpp,166,"// FIXME: Handle other special warning flags, like -pedantic."
clang,./llvm-project/clang/tools/diagtool/DiagnosticNames.cpp,27,"// FIXME: Is it worth having two tables, especially when this one can get"
clang,./llvm-project/clang/tools/diagtool/ShowEnabledWarnings.cpp,115,// FIXME: It would be very nice to print which flags are turning on which
clang,./llvm-project/clang/tools/cir-translate/cir-translate.cpp,95,// TODO: Need to set various target options later to populate
clang,./llvm-project/clang/test/Interpreter/pretty-print.c,78,"// TODO: _Bool, _Complex, _Atomic, and _BitInt"
clang,./llvm-project/clang/test/Interpreter/execute.c,9,// FIXME: Making foo inline fails to emit the function.
clang,./llvm-project/clang/test/Interpreter/disambiguate-decl-stmt.cpp,73,// FIXME: Should not be diagnosed twice!
clang,./llvm-project/clang/test/PCH/exprs.c,95,// GNUNullExpr FIXME: needs C++
clang,./llvm-project/clang/test/PCH/cxx-templates.cpp,142,// FIXME: It's unclear these warnings (and the behavior they're describing)
clang,./llvm-project/clang/test/PCH/check-deserializations.cpp,5,// FIXME: Why does this require an x86 target?
clang,./llvm-project/clang/test/PCH/builtin-macro.c,16,"// FIXME: undefs don't work well with pchs yet, see PR31311"
clang,./llvm-project/clang/test/PCH/modified-header-crash.c,8,// FIXME: It is intended to suppress this on win32.
clang,./llvm-project/clang/test/PCH/objc_methods.h,10,// FIXME: @compatibility_alias  AliasForTestPCH TestPCH;
clang,./llvm-project/clang/test/PCH/exprs.h,99,// GNUNullExpr FIXME: needs C++
clang,./llvm-project/clang/test/PCH/changed-files.c,5,// FIXME: This test fails inexplicably on Windows in a manner that makes it
clang,./llvm-project/clang/test/PCH/pragma-loop.cpp,15,"// FIXME: ""#pragma unroll (enable)"" is invalid and is not the input source."
clang,./llvm-project/clang/test/PCH/tentative-defs.c,9,// FIXME: expected-warning@tentative-defs.h:9{{tentative}}
clang,./llvm-project/clang/test/PCH/cxx_exprs.h,38,// FIXME: This is a hack until <typeinfo> works completely.
clang,./llvm-project/clang/test/PCH/cxx_exprs.h,66,"// FIXME: How do I make a CXXBindReferenceExpr, CXXConstructExpr?"
clang,./llvm-project/clang/test/PCH/cxx_exprs.h,76,"// FIXME: The comment on CXXTemporaryObjectExpr is broken, this doesn't make"
clang,./llvm-project/clang/test/PCH/Inputs/chain-selectors1.h,9,// FIXME: Can't verify warnings in headers
clang,./llvm-project/clang/test/PCH/Inputs/chain-selectors2.h,10,// FIXME: Can't verify warnings in headers
clang,./llvm-project/clang/test/Misc/backend-stack-frame-diagnostics.cpp,13,// TODO: Support rich backend diagnostics for Objective-C methods.
clang,./llvm-project/clang/test/Misc/diag-template-diffing-cxx11.cpp,886,// TODO: Find out why (default) isn't printed on second template.
clang,./llvm-project/clang/test/Misc/backend-stack-frame-diagnostics-fallback.cpp,4,// TODO: Emit rich diagnostics for thunks and move this into the appropriate test file.
clang,./llvm-project/clang/test/Misc/caret-diags-macros.c,210,// FIXME: Change test to use 'Cstrlen' instead of 'strlen_test' when macro printing is fixed.
clang,./llvm-project/clang/test/ClangScanDeps/module-format.c,62,// FIXME: check pch format as well; -module-file-info does not work with a PCH
clang,./llvm-project/clang/test/Tooling/clang-check-rel-path.cpp,7,// FIXME: Make the above easier.
clang,./llvm-project/clang/test/Tooling/clang-check-strip-o.cpp,6,// FIXME: Make the above easier.
clang,./llvm-project/clang/test/Tooling/clang-check-pwd.cpp,10,// FIXME: Make the above easier.
clang,./llvm-project/clang/test/Tooling/clang-check-builtin-headers.cpp,7,// FIXME: Make the above easier.
clang,./llvm-project/clang/test/Tooling/clang-check.cpp,6,// FIXME: Make the above easier.
clang,./llvm-project/clang/test/Tooling/clang-check-chdir.cpp,9,// FIXME: Make the above easier.
clang,./llvm-project/clang/test/Tooling/clang-check-autodetect-dir.cpp,6,// FIXME: Make the above easier.
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,87,// FIXME: C++23 [temp.expl.spec]p12 states:
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,88,"// FIXME:   ... Similarly, attributes appearing in the declaration of a template"
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,89,// FIXME:   have no effect on an explicit specialization of that template.
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,90,// FIXME: Clang currently instantiates and propagates attributes from a function
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,91,// FIXME: template to its explicit specializations resulting in the following
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,92,// FIXME: explicit specialization having an attribute incorrectly attached.
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,110,// FIXME: C++23 [temp.expl.spec]p12 states:
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,111,"// FIXME:   ... Similarly, attributes appearing in the declaration of a template"
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,112,// FIXME:   have no effect on an explicit specialization of that template.
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,113,// FIXME: Clang currently instantiates a function template specialization from
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,114,// FIXME: the function template declaration and links it as a previous
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,115,// FIXME: declaration of an explicit specialization. The instantiated
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,116,// FIXME: declaration includes attributes instantiated from the function
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,117,// FIXME: template declaration. When the instantiated declaration and the
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,118,// FIXME: explicit specialization both specify a sycl_kernel_entry_point
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,119,"// FIXME: attribute with different kernel name types, a spurious diagnostic"
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,120,// FIXME: is issued. The following test case is incorrectly diagnosed as
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,121,"// FIXME: having conflicting kernel name types (KN<5,3> vs the incorrectly"
clang,./llvm-project/clang/test/ASTSYCL/ast-dump-sycl-kernel-entry-point.cpp,122,"// FIXME: inherited KN<5,-1>)."
clang,./llvm-project/clang/test/ASTMerge/function-cpp/test.cpp,7,// FIXME: support of templated function overload is still not implemented.
clang,./llvm-project/clang/test/ASTMerge/APValue/APValue.cpp,45,"// FIXME: Add test for FixedPoint, ComplexInt, ComplexFloat, AddrLabelDiff."
clang,./llvm-project/clang/test/ASTMerge/class/test.cpp,10,// FIXME: we should also complain about mismatched types on the method
clang,./llvm-project/clang/test/Analysis/initialization.c,94,"// FIXME: Should warn {{FALSE}}, since the array has a static storage."
clang,./llvm-project/clang/test/Analysis/plist-macros-with-expansion.cpp,379,// FIXME: Why does the expansion appear twice?
clang,./llvm-project/clang/test/Analysis/call-and-message.c,27,"// TODO: If this hash ever changes, turn"
clang,./llvm-project/clang/test/Analysis/new-dynamic-types.cpp,18,// FIXME: Potentially warn because this code is pretty weird.
clang,./llvm-project/clang/test/Analysis/dead-stores.c,428,// FIXME: One day this should be reported as dead since 'z = x + y' is dead.
clang,./llvm-project/clang/test/Analysis/dead-stores.c,443,// FIXME: One day this should be reported as dead since 'x' is just overwritten.
clang,./llvm-project/clang/test/Analysis/dead-stores.c,446,// FIXME: This should eventually be a dead store since it is never read either.
clang,./llvm-project/clang/test/Analysis/dead-stores.c,452,// FIXME: One day this should be reported as dead since 'x' is just overwritten.
clang,./llvm-project/clang/test/Analysis/dead-stores.c,486,// FIXME: we should eventually report a dead store here.
clang,./llvm-project/clang/test/Analysis/osobject-retain-release.cpp,564,OSObject *intermediate = originalPtr;                // TODO: add note here as well
clang,./llvm-project/clang/test/Analysis/osobject-retain-release.cpp,578,OSObject *intermediate = originalPtr;                // TODO: add note here as well
clang,./llvm-project/clang/test/Analysis/osobject-retain-release.cpp,620,// FIXME: summaries are not applied in case the source of the getter/setter
clang,./llvm-project/clang/test/Analysis/osobject-retain-release.cpp,782,"// FIXME: This, however, should follow the Create Rule regardless."
clang,./llvm-project/clang/test/Analysis/cast-value-state-dump.cpp,24,// FIXME: We assumed that 'S' is a 'Circle' therefore it is not a 'Square'.
clang,./llvm-project/clang/test/Analysis/initializer.cpp,367,clang_analyzer_eval(0 == u->x); // expected-warning{{UNKNOWN}} FIXME: should be TRUE
clang,./llvm-project/clang/test/Analysis/initializer.cpp,368,"clang_analyzer_eval(u->y); // expected-warning{{UNKNOWN}} FIXME: should be undefined, warning"
clang,./llvm-project/clang/test/Analysis/initializer.cpp,373,clang_analyzer_eval(14 == u->x); // expected-warning{{UNKNOWN}} FIXME: should be TRUE
clang,./llvm-project/clang/test/Analysis/initializer.cpp,374,"clang_analyzer_eval(u->y); // expected-warning{{UNKNOWN}} FIXME: should be undefined, warning"
clang,./llvm-project/clang/test/Analysis/initializer.cpp,379,clang_analyzer_eval(3 == u->y); // expected-warning{{UNKNOWN}} FIXME: should be TRUE
clang,./llvm-project/clang/test/Analysis/initializer.cpp,380,"clang_analyzer_eval(u->x); // expected-warning{{UNKNOWN}} FIXME: should be undefined, warning"
clang,./llvm-project/clang/test/Analysis/initializer.cpp,390,// clang_analyzer_eval(14 == U->y); // FIXME: Should be true
clang,./llvm-project/clang/test/Analysis/initializer.cpp,391,"clang_analyzer_eval(U->x); // expected-warning{{UNKNOWN}} FIXME: should be undefined, warning"
clang,./llvm-project/clang/test/Analysis/region-store.cpp,68,// FIXME: The last dump at index 23 should be Undefined due to out of bounds access.
clang,./llvm-project/clang/test/Analysis/region-store.cpp,97,// FIXME: The last dump at index 23 should be Undefined due to out of bounds access.
clang,./llvm-project/clang/test/Analysis/region-store.cpp,152,// FIXME: The last dump at index 28 should be Undefined due to out of bounds access.
clang,./llvm-project/clang/test/Analysis/concrete-address.c,140,"int (*p_function) (char, char) = (int (*)(char, char))0x04040; // FIXME: warn at this initialization"
clang,./llvm-project/clang/test/Analysis/concrete-address.c,142,// FIXME: there should be a warning from calling the function pointer with fixed address
clang,./llvm-project/clang/test/Analysis/reinterpret-cast-pointer-to-member.cpp,6,// TODO: The following test will work properly once reinterpret_cast on pointer-to-member is handled properly
clang,./llvm-project/clang/test/Analysis/bitwise-shift-sanity-checks.c,65,// FIXME: The analyzer engine handles overflow of signed values as if it was
clang,./llvm-project/clang/test/Analysis/bitwise-shift-sanity-checks.c,76,// FIXME: we should rather have {{Left shift overflows the capacity of 'int'}}
clang,./llvm-project/clang/test/Analysis/handle_constructors_for_default_arguments.cpp,5,// The FIXME: tags indicate where we expect different output.
clang,./llvm-project/clang/test/Analysis/handle_constructors_for_default_arguments.cpp,90,// FIXME: Should be TRUE.
clang,./llvm-project/clang/test/Analysis/handle_constructors_for_default_arguments.cpp,96,// FIXME: Should be TRUE.
clang,./llvm-project/clang/test/Analysis/handle_constructors_for_default_arguments.cpp,102,// FIXME: Should be TRUE.
clang,./llvm-project/clang/test/Analysis/handle_constructors_for_default_arguments.cpp,108,// FIXME: Should be TRUE.
clang,./llvm-project/clang/test/Analysis/handle_constructors_for_default_arguments.cpp,114,// FIXME: Should be TRUE.
clang,./llvm-project/clang/test/Analysis/store-to-immutable-lambda-init.cpp,9,"// FIXME: Once the API of checkBind provides more information about the statement, the checker should be simplified, and this test case will no longer be a cornercase in the checker."
clang,./llvm-project/clang/test/Analysis/cfg.cpp,403,// FIXME: We want to emit the destructors of the lifetime
clang,./llvm-project/clang/test/Analysis/cfg.cpp,410,// FIXME: Add tests for lifetime extension via subobject
clang,./llvm-project/clang/test/Analysis/cfg.cpp,415,// FIXME: The destructor for 'a' shouldn't be there because it's deleted
clang,./llvm-project/clang/test/Analysis/cfg.cpp,463,// FIXME: Why do we have [B3] at all?
clang,./llvm-project/clang/test/Analysis/live-bindings-test.cpp,119,"// FIXME: ideally we want to ignore that the initializers reference the decomposed region, and report the warning,"
clang,./llvm-project/clang/test/Analysis/store-to-immutable-basic.cpp,7,// FIXME: This should warn in C mode too.
clang,./llvm-project/clang/test/Analysis/ctor-array.cpp,262,// FIXME: Default initializers for array members are not modeled.
clang,./llvm-project/clang/test/Analysis/uninit-structured-binding-array.cpp,287,// FIXME: These will be Undefined when we handle reading Undefined values from lazyCompoundVal.
clang,./llvm-project/clang/test/Analysis/dtor-array.cpp,343,//FIXME: This should be TRUE but memset also sets this
clang,./llvm-project/clang/test/Analysis/loop-assumptions.c,139,// FIXME: This corner case is responsible for at least one out-of-bounds
clang,./llvm-project/clang/test/Analysis/loop-assumptions.c,171,"// FIXME: It would be good to eventually eliminate this inconsistency, but"
clang,./llvm-project/clang/test/Analysis/loop-assumptions.c,229,// FIXME: This inaccurate iteration count could in theory cause some false
clang,./llvm-project/clang/test/Analysis/retain-release-cpp-classes.cpp,29,// FIXME: Ideally we need to warn after this invalidate(). The per-function
clang,./llvm-project/clang/test/Analysis/plist-macros-with-expansion-ctu.c,26,// FIXME: Macro expansion for other TUs should also work.
clang,./llvm-project/clang/test/Analysis/block-in-critical-section.cpp,302,// FIXME: we are entering the critical section only in the true branch
clang,./llvm-project/clang/test/Analysis/block-in-critical-section.cpp,309,"// FIXME: this is a false positive, the lock was not acquired"
clang,./llvm-project/clang/test/Analysis/temporaries.cpp,129,"// FIXME: should be TRUE, but we don't inline the constructors of"
clang,./llvm-project/clang/test/Analysis/temporaries.cpp,349,// FIXME: Find a way to verify construction order.
clang,./llvm-project/clang/test/Analysis/temporaries.cpp,424,// FIXME: This exact pattern triggers the temporary cleanup logic
clang,./llvm-project/clang/test/Analysis/temporaries.cpp,432,// FIXME: This exact pattern triggers the temporary cleanup logic
clang,./llvm-project/clang/test/Analysis/temporaries.cpp,1049,// FIXME: Should be TRUE.
clang,./llvm-project/clang/test/Analysis/const-method-call.cpp,271,// FIXME: Should be UNKNOWN.
clang,./llvm-project/clang/test/Analysis/taint-tester.c,36,// FIXME: We fail to propagate the taint here because RegionStore does not
clang,./llvm-project/clang/test/Analysis/taint-tester.c,54,int ty = xy.y; // FIXME: This should be tainted as well.
clang,./llvm-project/clang/test/Analysis/call-and-message.cpp,77,"// TODO: If this hash ever changes, turn"
clang,./llvm-project/clang/test/Analysis/call-and-message.cpp,99,"// TODO: If this hash ever changes, turn"
clang,./llvm-project/clang/test/Analysis/call-and-message.cpp,116,"// TODO: If this hash ever changes, turn"
clang,./llvm-project/clang/test/Analysis/call-and-message.cpp,127,"// TODO: If this hash ever changes, turn"
clang,./llvm-project/clang/test/Analysis/call-and-message.cpp,140,"// TODO: If this hash ever changes, turn"
clang,./llvm-project/clang/test/Analysis/call-and-message.cpp,165,"// TODO: If this hash ever changes, turn"
clang,./llvm-project/clang/test/Analysis/use-after-move.cpp,299,// FIXME: Execution doesn't jump to the end of the function yet.
clang,./llvm-project/clang/test/Analysis/use-after-move.cpp,582,// FIXME: Execution doesn't jump to the end of the function yet.
clang,./llvm-project/clang/test/Analysis/use-after-move.cpp,992,// TODO: Explain why (bool)P is false.
clang,./llvm-project/clang/test/Analysis/use-after-move.cpp,999,// TODO: Warn on a null dereference here.
clang,./llvm-project/clang/test/Analysis/cfg.c,118,// FIXME: does not work
clang,./llvm-project/clang/test/Analysis/bitwise-shift-common.c,103,// FIXME: this message should be
clang,./llvm-project/clang/test/Analysis/new-ctor-null.cpp,22,"// FIXME: Constructor should not be called with null this, even if it was"
clang,./llvm-project/clang/test/Analysis/new-ctor-null.cpp,39,// FIXME: Should be FALSE - we should not invalidate globals.
clang,./llvm-project/clang/test/Analysis/uninit-structured-binding-struct.cpp,96,"// FIXME: These should be undefined, but we have to fix"
clang,./llvm-project/clang/test/Analysis/nullability.c,45,"// TODO: This warning is a false positive, according to the contract of"
clang,./llvm-project/clang/test/Analysis/new-user-defined.cpp,20,clang_analyzer_eval(s->x); // expected-warning{{UNKNOWN}} FIXME: should be an undefined warning
clang,./llvm-project/clang/test/Analysis/template-param-objects.cpp,16,clang_analyzer_dump(V.value);  // expected-warning {{Unknown}} FIXME: It should be '6 S32b'.
clang,./llvm-project/clang/test/Analysis/template-param-objects.cpp,25,clang_analyzer_eval(&A1 == &A2); // expected-warning {{UNKNOWN}} FIXME: It should be TRUE.
clang,./llvm-project/clang/test/Analysis/template-param-objects.cpp,26,clang_analyzer_eval(&B1 == &B2); // expected-warning {{UNKNOWN}} FIXME: It should be TRUE.
clang,./llvm-project/clang/test/Analysis/template-param-objects.cpp,27,clang_analyzer_eval(&A1 == &B2); // expected-warning {{UNKNOWN}} FIXME: It should be FALSE.
clang,./llvm-project/clang/test/Analysis/template-param-objects.cpp,29,clang_analyzer_eval(A1 == A2); // expected-warning {{UNKNOWN}} FIXME: It should be TRUE.
clang,./llvm-project/clang/test/Analysis/template-param-objects.cpp,30,clang_analyzer_eval(B1 == B2); // expected-warning {{UNKNOWN}} FIXME: It should be TRUE.
